train_000000 270
train_000001 letters
train_000002 orders
train_000003 and
train_000004 instructions
train_000005 october
train_000006 1755
train_000007 only
train_000008 for
train_000009 the
train_000010 publick
train_000011 use
train_000012 unless
train_000013 by
train_000014 particu
train_000015 lar
train_000016 orders
train_000017 from
train_000018 me
train_000019 you
train_000020 are
train_000021 to
train_000022 send
train_000023 down
train_000024 a
train_000025 barrel
train_000026 of
train_000027 flints
train_000028 with
train_000029 the
train_000030 arms
train_000031 to
train_000032 winchester
train_000033 and
train_000034 about
train_000035 two
train_000036 thousand
train_000037 weight
train_000038 of
train_000039 flour
train_000040 for
train_000041 the
train_000042 two
train_000043 companies
train_000044 of
train_000045 rangers
train_000046 twelve
train_000047 hundred
train_000048 of
train_000049 which
train_000050 to
train_000051 be
train_000052 delivered
train_000053 captain
train_000054 ashby
train_000055 and
train_000056 company
train_000057 at
train_000058 the
train_000059 plantation
train_000060 of
train_000061 charles
train_000062 sellars
train_000063 the
train_000064 rest
train_000065 to
train_000066 captain
train_000067 cockes
train_000068 company
train_000069 at
train_000070 nicholas
train_000071 reasmers
train_000072 october
train_000073 26
train_000074 gw
train_000075 28th
train_000076 winchester
train_000077 october
train_000078 28
train_000079 1755
train_000080 parole
train_000081 hampton
train_000082 the
train_000083 officers
train_000084 who
train_000085 came
train_000086 down
train_000087 from
train_000088 fort
train_000089 cumberland
train_000090 with
train_000091 colonel
train_000092 washington
train_000093 are
train_000094 immediately
train_000095 to
train_000096 go
train_000097 recrui
train_000098 ting
train_000099 and
train_000100 they
train_000101 are
train_000102 allowed
train_000103 until
train_000104 the
train_000105 1st
train_000106 of
train_000107 de
train_000108 cember
train_000109 at
train_000110 which
train_000111 time
train_000112 if
train_000113 they
train_000114 do
train_000115 not
train_000116 punctually
train_000117 appear
train_000118 at
train_000119 the
train_000120 place
train_000121 of
train_000122 rendez
train_000123 vous
train_000124 assigned
train_000125 them
train_000126 they
train_000127 will
train_000128 be
train_000129 tried
train_000130 by
train_000131 a
train_000132 court
train_000133 martial
train_000134 for
train_000135 disobedience
train_000136 of
train_000137 orders
train_000138 they
train_000139 are
train_000140 to
train_000141 wait
train_000142 upon
train_000143 the
train_000144 aid
train_000145 de
train_000146 camp
train_000147 at
train_000148 one
train_000149 of
train_000150 the
train_000151 clock
train_000152 to
train_000153 receive
train_000154 their
train_000155 recrui
train_000156 ting
train_000157 instructions
train_000158 each
train_000159 officer
train_000160 present
train_000161 to
train_000162 give
train_000163 in
train_000164 a
train_000165 return
train_000166 immediately
train_000167 of
train_000168 the
train_000169 number
train_000170 of
train_000171 men
train_000172 he
train_000173 has
train_000174 enlisted
train_000175 one
train_000176 subaltern
train_000177 one
train_000178 sergeant
train_000179 one
train_000180 corporal
train_000181 one
train_000182 drummer
train_000183 and
train_000184 twenty
train_000185 five
train_000186 private
train_000187 men
train_000188 are
train_000189 to
train_000190 mount
train_000191 guard
train_000192 today
train_000193 and
train_000194 to
train_000195 be
train_000196 relieved
train_000197 to
train_000198 morrow
train_000199 at
train_000200 ten
train_000201 oclock
train_000202 all
train_000203 reports
train_000204 and
train_000205 returns
train_000206 are
train_000207 to
train_000208 be
train_000209 made
train_000210 to
train_000211 the
train_000212 aid
train_000213 de
train_000214 camp
train_000215 letters
train_000216 orders
train_000217 and
train_000218 instructions
train_000219 october
train_000220 1755
train_000221 271
train_000222 28th
train_000223 to
train_000224 ensign
train_000225 fleming
train_000226 of
train_000227 the
train_000228 virginia
train_000229 regiment
train_000230 you
train_000231 are
train_000232 hereby
train_000233 ordered
train_000234 to
train_000235 repair
train_000236 to
train_000237 captain
train_000238 hogg
train_000239 company
train_000240 at
train_000241 fort
train_000242 dinwiddie
train_000243 with
train_000244 eight
train_000245 good
train_000246 men
train_000247 as
train_000248 that
train_000249 company
train_000250 is
train_000251 without
train_000252 a
train_000253 surgeon
train_000254 if
train_000255 you
train_000256 will
train_000257 do
train_000258 that
train_000259 duty
train_000260 an
train_000261 allowance
train_000262 will
train_000263 be
train_000264 made
train_000265 you
train_000266 for
train_000267 it
train_000268 you
train_000269 are
train_000270 to
train_000271 provide
train_000272 medicines
train_000273 c
train_000274 upon
train_000275 the
train_000276 best
train_000277 terms
train_000278 you
train_000279 can
train_000280 this
train_000281 order
train_000282 i
train_000283 expect
train_000284 will
train_000285 be
train_000286 immedi
train_000287 ately
train_000288 complied
train_000289 with
train_000290 and
train_000291 that
train_000292 no
train_000293 delays
train_000294 be
train_000295 of
train_000296 fered
train_000297 you
train_000298 are
train_000299 to
train_000300 account
train_000301 with
train_000302 captain
train_000303 bell
train_000304 for
train_000305 your
train_000306 recruiting
train_000307 money
train_000308 before
train_000309 you
train_000310 leave
train_000311 him
train_000312 if
train_000313 you
train_000314 should
train_000315 arrive
train_000316 at
train_000317 augusta
train_000318 court
train_000319 house
train_000320 before
train_000321 sergeant
train_000322 wilper
train_000323 and
train_000324 his
train_000325 party
train_000326 you
train_000327 are
train_000328 to
train_000329 halt
train_000330 there
train_000331 until
train_000332 he
train_000333 joins
train_000334 in
train_000335 order
train_000336 to
train_000337 escort
train_000338 the
train_000339 ammunition
train_000340 c
train_000341 for
train_000342 the
train_000343 fort
train_000344 where
train_000345 you
train_000346 will
train_000347 receive
train_000348 clothes
train_000349 and
train_000350 arms
train_000351 for
train_000352 the
train_000353 men
train_000354 28th
train_000355 to
train_000356 captain
train_000357 bell
train_000358 of
train_000359 the
train_000360 virginia
train_000361 regiment
train_000362 i
train_000363 have
train_000364 ordered
train_000365 ensign
train_000366 fleming
train_000367 to
train_000368 repair
train_000369 to
train_000370 captain
train_000371 hoggs
train_000372 company
train_000373 with
train_000374 eight
train_000375 good
train_000376 men
train_000377 which
train_000378 i
train_000379 expect
train_000380 you
train_000381 will
train_000382 see
train_000383 immedi
train_000384 ately
train_000385 complied
train_000386 with
train_000387 he
train_000388 is
train_000389 to
train_000390 account
train_000391 with
train_000392 you
train_000393 for
train_000394 his
train_000395 recruiting
train_000396 money
train_000397 before
train_000398 he
train_000399 leaves
train_000400 you
train_000401 you
train_000402 are
train_000403 hereby
train_000404 ordered
train_000405 peremptorily
train_000406 to
train_000407 be
train_000408 at
train_000409 this
train_000410 place
train_000411 with
train_000412 what
train_000413 men
train_000414 you
train_000415 have
train_000416 or
train_000417 can
train_000418 en
train_000419 list
train_000420 by
train_000421 the
train_000422 1st
train_000423 of
train_000424 december
train_000425 your
train_000426 late
train_000427 disobedi
train_000428 ence
train_000429 of
train_000430 orders
train_000431 has
train_000432 greatly
train_000433 displeased
train_000434 me
train_000435 it
train_000436 is
train_000437 impossible
train_000438 to
train_000439 carry
train_000440 on
train_000441 affairs
train_000442 as
train_000443 they
train_000444 ought
train_000445 to
train_000446 be
train_000447 when
train_000448 you
train_000449 pay
train_000450 so
train_000451 little
train_000452 regard
train_000453 to
train_000454 the
train_000455 force
train_000456 of
train_000457 a
train_000458 military
train_000459 order
train_000460 you
train_000461 must
train_000462 be
train_000463 conscious
train_000464 within
train_000465 yourself
train_000466 or
train_000467 at
train_000468 least
train_000469 ought
train_000470 to
train_000471 be
train_000472 that
train_000473 your
train_000474 crime
train_000475 is
train_000476 sufficient
train_000477 to
train_000478 break
train_000479 the
train_000480 best
train_000481 officer
train_000482 that
train_000483 ever
train_000484 bore
train_000485 a
train_000486 commission
train_000487 272
train_000488 letters
train_000489 orders
train_000490 and
train_000491 instructions
train_000492 october
train_000493 172
train_000494 28th
train_000495 to
train_000496 captain
train_000497 peter
train_000498 hogg
train_000499 of
train_000500 the
train_000501 virginia
train_000502 regiment
train_000503 sir
train_000504 i
train_000505 received
train_000506 yours
train_000507 of
train_000508 the
train_000509 6th
train_000510 of
train_000511 octo
train_000512 ber
train_000513 inclosing
train_000514 the
train_000515 returns
train_000516 of
train_000517 your
train_000518 company
train_000519 only
train_000520 this
train_000521 day
train_000522 ferguson
train_000523 was
train_000524 sent
train_000525 after
train_000526 you
train_000527 but
train_000528 falling
train_000529 ill
train_000530 by
train_000531 a
train_000532 sore
train_000533 on
train_000534 his
train_000535 arm
train_000536 was
train_000537 ordered
train_000538 to
train_000539 halt
train_000540 here
train_000541 where
train_000542 he
train_000543 now
train_000544 remains
train_000545 unfit
train_000546 for
train_000547 duty
train_000548 therefore
train_000549 i
train_000550 have
train_000551 sent
train_000552 in
train_000553 his
train_000554 room
train_000555 sergeant
train_000556 wilper
train_000557 has
train_000558 received
train_000559 from
train_000560 fort
train_000561 cumberland
train_000562 and
train_000563 this
train_000564 place
train_000565 arms
train_000566 and
train_000567 clothing
train_000568 to
train_000569 complete
train_000570 your
train_000571 compa
train_000572 ny
train_000573 to
train_000574 the
train_000575 establishment
train_000576 he
train_000577 has
train_000578 enlisted
train_000579 three
train_000580 men
train_000581 on
train_000582 his
train_000583 march
train_000584 and
train_000585 i
train_000586 have
train_000587 or
train_000588 dered
train_000589 ensign
train_000590 fleming
train_000591 with
train_000592 eight
train_000593 others
train_000594 to
train_000595 join
train_000596 you
train_000597 he
train_000598 being
train_000599 a
train_000600 surgeon
train_000601 he
train_000602 is
train_000603 desired
train_000604 to
train_000605 take
train_000606 care
train_000607 of
train_000608 your
train_000609 company
train_000610 for
train_000611 which
train_000612 he
train_000613 will
train_000614 be
train_000615 allowed
train_000616 you
train_000617 must
train_000618 use
train_000619 your
train_000620 best
train_000621 endeavours
train_000622 to
train_000623 secure
train_000624 your
train_000625 provisions
train_000626 and
train_000627 do
train_000628 with
train_000629 it
train_000630 as
train_000631 you
train_000632 see
train_000633 most
train_000634 needful
train_000635 it
train_000636 is
train_000637 impossi
train_000638 ble
train_000639 i
train_000640 can
train_000641 direct
train_000642 about
train_000643 it
train_000644 at
train_000645 this
train_000646 distance
train_000647 properly
train_000648 as
train_000649 we
train_000650 have
train_000651 contracted
train_000652 for
train_000653 a
train_000654 large
train_000655 quantity
train_000656 of
train_000657 beef
train_000658 already
train_000659 you
train_000660 are
train_000661 desired
train_000662 to
train_000663 engage
train_000664 no
train_000665 more
train_000666 than
train_000667 what
train_000668 will
train_000669 suffice
train_000670 for
train_000671 your
train_000672 own
train_000673 company
train_000674 i
train_000675 shall
train_000676 see
train_000677 that
train_000678 money
train_000679 is
train_000680 lodged
train_000681 with
train_000682 mr
train_000683 dick
train_000684 for
train_000685 your
train_000686 use
train_000687 when
train_000688 i
train_000689 see
train_000690 him
train_000691 you
train_000692 are
train_000693 to
train_000694 see
train_000695 the
train_000696 usual
train_000697 stoppages
train_000698 from
train_000699 the
train_000700 mens
train_000701 pay
train_000702 while
train_000703 they
train_000704 are
train_000705 in
train_000706 the
train_000707 hospital
train_000708 to
train_000709 answer
train_000710 the
train_000711 expence
train_000712 of
train_000713 nurses
train_000714 c
train_000715 you
train_000716 must
train_000717 be
train_000718 very
train_000719 careful
train_000720 not
train_000721 to
train_000722 slip
train_000723 the
train_000724 opportunity
train_000725 of
train_000726 purchasing
train_000727 grain
train_000728 for
train_000729 your
train_000730 company
train_000731 that
train_000732 being
train_000733 your
train_000734 only
train_000735 dependance
train_000736 letters
train_000737 orders
train_000738 and
train_000739 instructions
train_000740 october
train_000741 1755
train_000742 273
train_000743 for
train_000744 bread
train_000745 the
train_000746 commissary
train_000747 having
train_000748 no
train_000749 orders
train_000750 to
train_000751 make
train_000752 provisions
train_000753 for
train_000754 you
train_000755 if
train_000756 any
train_000757 of
train_000758 your
train_000759 men
train_000760 should
train_000761 desert
train_000762 or
train_000763 die
train_000764 you
train_000765 are
train_000766 immediately
train_000767 to
train_000768 recruit
train_000769 others
train_000770 keeping
train_000771 your
train_000772 company
train_000773 to
train_000774 the
train_000775 esta
train_000776 blishment
train_000777 28th
train_000778 to
train_000779 lieutenant
train_000780 bacon
train_000781 of
train_000782 the
train_000783 maryland
train_000784 independant
train_000785 company
train_000786 sir
train_000787 as
train_000788 those
train_000789 stockades
train_000790 on
train_000791 pattersons
train_000792 creek
train_000793 are
train_000794 only
train_000795 intended
train_000796 by
train_000797 way
train_000798 of
train_000799 cover
train_000800 to
train_000801 the
train_000802 rangers
train_000803 and
train_000804 as
train_000805 a
train_000806 receptacle
train_000807 now
train_000808 and
train_000809 then
train_000810 for
train_000811 provisions
train_000812 you
train_000813 are
train_000814 desired
train_000815 not
train_000816 to
train_000817 plan
train_000818 any
train_000819 work
train_000820 which
train_000821 requires
train_000822 much
train_000823 time
train_000824 to
train_000825 execute
train_000826 we
train_000827 have
train_000828 neither
train_000829 men
train_000830 nor
train_000831 tools
train_000832 to
train_000833 carry
train_000834 on
train_000835 the
train_000836 undertaking
train_000837 with
train_000838 vigour
train_000839 i
train_000840 am
train_000841 c
train_000842 gw
train_000843 29th
train_000844 to
train_000845 lieutenant
train_000846 colonel
train_000847 adam
train_000848 stephen
train_000849 of
train_000850 the
train_000851 virginia
train_000852 regiment
train_000853 you
train_000854 are
train_000855 hereby
train_000856 ordered
train_000857 so
train_000858 soon
train_000859 as
train_000860 the
train_000861 waggons
